Departamento:,Provincia:,Municipio:,Ciudad/localidad:,Distrito:,Distrito municipal:,DM Otro:,UV:,Barrio:,Institución:,Otro:,Fecha:,Turno:,Técnico 1:,Técnico 2:,Supervisor:,_id,_uuid,_submission_time,_index
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,,,Municipio,,2023-02-12 00:00:00,,,,,218723850,86d596ea-a4d3-4681-ab53-f2d1a6523bdb,2023-02-12 13:46:14,33
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,,,,218723901,4d9af406-8453-4879-a026-34fea6439809,2023-02-12 13:46:54,34
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,71,,Municipio,,2023-02-12 00:00:00,Mañna,Victoria,,Doctor janco y Nelson,218723906,3caf14f7-7bc7-44fc-8b7c-c966254930e8,2023-02-12 13:47:02,35
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,,,100,,Municipio,,2023-02-12 00:00:00,Mañana,,,Mercedes Miranda,218723918,9358e4ed-4a20-481c-bd60-7ac16f51eb5f,2023-02-12 13:47:17,36
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,999589,3 pasos al frente,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723954,e317e6e0-1f46-4b42-a409-aedcf5f127f6,2023-02-12 13:47:54,37
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,5№¥€¢@@@,DM 6,,141 a,San Lorenzo sur,SEDES,,2023-02-12 00:00:00,Mañana,Yudith Velázquez,Liseth Rojas,Karen Duri,218723955,f5f044ba-7ebf-4728-b067-c088ed93f912,2023-02-12 13:47:55,38
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria lopez,,Dr. JancoDr. Nelson choco,218724031,680c29b9-b962-456d-9bd2-8712cafdb860,2023-02-12 13:48:35,39
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth Macías,,218724184,661e9400-89a3-4ac0-9776-2b668717abc4,2023-02-12 13:49:40,40
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,Distrito 6,DM 6,,153,Juan Carlos velardes,Municipio,,2023-02-12 00:00:00,Mañana,Karen  duri,,,218724215,6fc32b52-5144-44f9-811b-41f3117ac148,2023-02-12 13:49:50,41
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,999589,3 pasos al frente,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218724257,13e067a0-4963-4b4f-a8d7-f5a327033a03,2023-02-12 13:50:05,42
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria lopez,,Dr. Janco Dr. Nelson,218724313,07fad116-fa56-4508-a6e1-80a519edc901,2023-02-12 13:50:32,43
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,,,SEDES,,2023-02-12 00:00:00,Mañana,Liseth Rojas,Yudith Velázquez,,218724331,8c361e7a-8182-4415-b4b8-a3fe81492ef8,2023-02-12 13:50:40,44
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Barrio Finalito,Municipio,,2023-02-12 00:00:00,Mañana,Emily Gutierrez,Vania Rodríguez,Dra Isabel Vallejos,218724356,8c69052c-de20-4c85-bcb6-289c150e53e4,2023-02-12 13:50:51,45
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria lopez,,Dr. Janco Dr. Nelson,218724434,c041c88f-a01b-4d73-bafe-79503e9a6e50,2023-02-12 13:51:43,46
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,71,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria,,Doctor. Janco  y Nelson,218724466,9c1c32c3-4033-4aad-bb1a-b316b61df5ca,2023-02-12 13:52:02,47
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Hugo banzer,Municipio,,2023-02-12 00:00:00,Mañana,Dra isa vallejos,,Dra Mercedes,218724473,fdc6a956-33ea-49e4-9053-6d3669ed6afc,2023-02-12 13:52:08,48
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth Macías,,218724494,b419ae16-3174-4047-9d4c-2f3cb956d710,2023-02-12 13:52:18,49
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,,Barrio banzer,SEDES,,2023-02-12 00:00:00,Mañana,Gleisy Ferreira,Vanessa Aruata,Dr. Mercedes Miranda,218724511,0c631f11-867e-4fd6-bfc4-e0143d14bff2,2023-02-12 13:52:30,50
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM 7,DM 7,,100,Espinalito,Municipio,,2023-02-12 00:00:00,Mañana,,Cristina China Aeguazu,Dr Mercedes Miranda,218724533,02bedee7-e3eb-4293-bbe5-466c4751ddf7,2023-02-12 13:52:48,51
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Banzer,SEDES,,2023-02-12 00:00:00,mañana,Dayana Álvarez,Juanita Arce,Isabel Vallejos,218724538,2c436df1-c6f7-4e81-9888-e52493d4adf3,2023-02-12 13:52:52,52
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,,Municipio,,2023-02-12 00:00:00,Mañana,,,Mercedes Miranda,218724559,70f21d8b-1002-452e-968c-e9ab35b27e09,2023-02-12 13:53:04,53
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,153,,Municipio,,2023-02-12 00:00:00,Mañana,Karen duri,,,218724577,91bb2852-7a28-4dee-a040-0cf4651a6843,2023-02-12 13:53:12,54
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth macias,,218724589,c0c1463b-b5fe-4bfb-82ce-7de95e14f861,2023-02-12 13:53:20,55
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria lopez,,Dr. Janco .Dr nelson,218724629,b0177843-5676-4da6-99ff-10ff6af2ac40,2023-02-12 13:53:37,56
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,100,,Otro,Instituto Latinoamericano,2023-02-12 00:00:00,Mañana,,,Isabel Vallejos,218724661,8fdc516a-5c59-4520-863f-a966b8f383a1,2023-02-12 13:53:46,57
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM 7,DM 7,,100,Espinalito,Municipio,,2023-02-12 00:00:00,Mañana,,Adela Gardenia Flores Rodriguez,Mercedes,218724679,3f0b3abc-45b8-4133-85f7-7e8df567ec80,2023-02-12 13:53:53,58
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 6,,,,Municipio,,2023-02-12 00:00:00,Mañana,Karen duri,,,218724688,e14ec73f-af3d-4c60-b4c5-7472619fc6c7,2023-02-12 13:53:58,59
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,999589,3 pasos al frente,Municipio,,2023-02-12 00:00:00,Mañana,Gary,,,218724730,cbae5085-398e-4e42-acfd-5026b73ae6af,2023-02-12 13:54:18,60
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,Municipal 5,DM 5,,72,Berrios los Tusequi,Municipio,,2023-02-12 00:00:00,Mañana,Victoria Lopez,Nelson Choque,Juan Carlos Janko,218724739,529b5eac-b054-4979-ba37-3023c9bdd169,2023-02-12 13:54:28,61
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,153,,Municipio,,2023-02-12 00:00:00,Mañana,Karen duri,,,218724768,cb455560-db2d-49f4-b039-ffac654290cc,2023-02-12 13:54:38,62
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Banzer,Municipio,,2023-02-12 00:00:00,Mañana,Dra Isabel Vallejo,Mercedds,Mercedes,218724805,93cc0cc2-81a6-4a95-be12-0d00563068f5,2023-02-12 13:55:06,63
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth Macías,,218724822,ebf9a6e9-fbf3-47b1-98a3-111c33f65648,2023-02-12 13:55:20,64
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,Lic: David,,,88,Totaices,Municipio,,2023-02-12 00:00:00,Mañana,Jenny,Marco,,218724898,1eba00fc-5c91-4fa4-8015-ee566350873d,2023-02-12 13:56:01,65
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,2,San Lorenzo sur,SEDES,,2023-02-12 00:00:00,Mañana,Yudith Velázquez,Liseth Rojas,Karen Duri,218724938,95f9771e-ad11-47ef-87b5-32fa7ae0faf0,2023-02-12 13:56:19,66
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Espinalito,Municipio,,2023-02-12 00:00:00,Mañana,,María Fernanda Mamani,Mercedes,218724985,8021b18e-0782-46f1-9b47-5d6cce3392d3,2023-02-12 13:56:34,67
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,,San jorge,Municipio,,2023-02-12 00:00:00,Mañana,Mariela alvis,"Brenda zabala ,yenny ramos",Dra mirian rodriguez,218725054,08254cd2-e2d9-49da-a9e4-957c2e8c372f,2023-02-12 13:57:12,68
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,999589,3 pasos al frente,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218725056,02753b9f-7b1d-460a-adc5-3ce5147ff8b9,2023-02-12 13:57:12,69
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth Macías,,218725152,f44e3846-9cc9-480f-8156-111fed6927aa,2023-02-12 13:57:55,70
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Finalito,Municipio,,2023-02-12 00:00:00,Mañana,Emily Gutierrez,Vania Rodríguez,Dra Isabel Vallejos,218725184,9b758ed6-5ef3-447b-b042-2b26f5cb5cca,2023-02-12 13:58:06,71
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Hugo banzer,Municipio,,2023-02-12 00:00:00,Manana,Dra Isabel vallejos,Dra mercedes,Dra mercedes,218725191,9e5ef084-1ab5-4409-9eaf-4963008852c7,2023-02-12 13:58:08,72
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 6,,,,Municipio,,2023-02-12 00:00:00,Mañana,Kely ortiz,Carlen duran,Karen dury,218725195,84fdb4db-228f-4680-96aa-27727be4b428,2023-02-12 13:58:09,73
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,2,San Lorenzo sur,SEDES,,2023-02-12 00:00:00,Mañana,Liseth Rojas,Yudith Velázquez,Karen Duri,218725203,4a26d7b4-3496-4003-9b52-21bceeb965c8,2023-02-12 13:58:23,74
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,,,Municipio,,2023-02-12 00:00:00,,,,,218725204,ee48147e-3cc6-49d9-ba10-a822c9187a24,2023-02-12 13:58:30,75
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,153,23 diciemre,Municipio,,2023-02-12 00:00:00,Mañana,Karen Turi,,,218725206,a3c15048-5137-4e83-94d3-a2fe4b915e86,2023-02-12 13:58:30,76
